"TotLoop";"LoopNormInter";"TotCollateralETH";"OldcollateralETH";"OldCollateralUSD";"TotCollateralUSD";"NewCreditUSD";"NewCollateralETH";"TotCreditUSD";"NetRevenueUSD";"NewKeet10pctUSD";"TotKeet10pctUSD";"OraclePrice";"Leverage";"CollLoanRatio";"LoanCollRatio";"LiquidPreisMaxMint";"EndLiquidPriceUSD";"StartSoftLiquidUSD";"leverageEfficiency";"MaxCollUSDwSaftyPrice";"MaxCollUSD"
"0";"100";"            8.20";"            5.00";"           9?315";"          15?271";"       6?617";"            3.20";"       6?617";"      9?315";"            662";"            662";"      1?863";"     1.6";"        231%";"          43%";"             1?127";"              688";"             1?136";"           63.936%";"                8?136";"    10?848"
"1";"    1";"           10.24";"            8.20";"          15?271";"          19?078";"       4?231";"            2.04";"      10?848";"      9?315";"            423";"          1?085";"      1?863";"     2.0";"        176%";"          57%";"             1?127";"              902";"             1?491";"             24.9%";"               10?165";"    13?553"
"2";"200";"           12.66";"           10.24";"          24?199";"          29?907";"       6?343";"            2.42";"      17?191";"     14?435";"            634";"          1?719";"      2?363";"     2.5";"        174%";"          57%";"             1?430";"            1?157";"             1?912";"           23.589%";"               15?934";"    21?246"
"0";"100";"            8.99";"            5.00";"           9’315";"          16’742";"       8’252";"            3.99";"       8’252";"      9’315";"            825";"            825";"      1’863";"     1.8";"        203%";"          49%";"             1’790";"              996";"             1’037";"           79.731%";"               11’124";"    14’832"
"1";"    1";"           12.17";"            8.99";"          16’742";"          22’664";"       6’580";"            3.18";"      14’832";"      9’315";"            658";"          1’483";"      1’863";"     2.4";"        153%";"          65%";"             1’790";"            1’322";"             1’376";"             35.4%";"               15’058";"    20’078"
"2";"    2";"           14.70";"           12.17";"          22’664";"          27’385";"       5’246";"            2.53";"      20’078";"      9’315";"            525";"          2’008";"      1’863";"     2.9";"        136%";"          73%";"             1’790";"            1’481";"             1’542";"             20.8%";"               18’195";"    24’260"
"3";"200";"           18.77";"           14.70";"          34’735";"          44’359";"      10’694";"            4.07";"      30’771";"     16’665";"          1’069";"          3’077";"      2’363";"     3.8";"        144%";"          69%";"             2’270";"            1’777";"             1’850";"           27.708%";"               29’473";"    39’297"
"0";"100";"            8.97";"            5.00";"           9’315";"          16’705";"       8’211";"            3.97";"       8’211";"      9’315";"            821";"            821";"      1’863";"     1.8";"        203%";"          49%";"             1’772";"              988";"             1’039";"           79.335%";"               11’044";"    14’726"
"1";"    1";"           12.11";"            8.97";"          16’705";"          22’568";"       6’514";"            3.15";"      14’726";"      9’315";"            651";"          1’473";"      1’863";"     2.4";"        153%";"          65%";"             1’772";"            1’311";"             1’379";"             35.1%";"               14’920";"    19’894"
"2";"    2";"           14.61";"           12.11";"          22’568";"          27’219";"       5’168";"            2.50";"      19’894";"      9’315";"            517";"          1’989";"      1’863";"     2.9";"        137%";"          73%";"             1’772";"            1’469";"             1’545";"             20.6%";"               17’995";"    23’994"
